date,АЁАн
2020.9.7,1700
2020.9.8,1651
2020.9.9,1459
2020.9.10,1910
2020.9.11,1484
2020.9.12,1584
2020.9.14,1710
2020.9.15,1750
2020.9.16,1803
2020.9.17,1702
2020.9.18,1909
2020.9.19,1289
2020.9.21,2042
2020.9.22,1897
2020.9.23,1792
2020.9.24,1565
2020.9.25,1773
2020.9.26,1405
2020.9.28,2001
2020.9.29,1743
2020.9.30,956
2020.10.5,1665
2020.10.6,1743
2020.10.7,1709
2020.10.8,1568
2020.10.9,1674
2020.10.10,1603
2020.10.12,1875
2020.10.13,1620
2020.10.14,1325
2020.10.15,1282
2020.10.16,1213
2020.10.17,1281
2020.10.19,1497
2020.10.20,1508
2020.10.21,1427
2020.10.22,1313
2020.10.23,1402
2020.10.24,1067
2020.10.26,1497